codigo MALT;item MALT;unidad;rubro MALT;candidato del sistema;unidad;parecido;COPIAR? (si/no)
10.2.4;Bocas de Desagüe bajo tierra;un;INSTALACION SANITARIA;INSTALACION DE BOCAS DE DESAGUE (CAMARAS);Unidad;0,47;
5.18;Escalera de HºAº;m3;ESTRUCTURA RESISTENTE;COLUMNAS DE HºAº;m3;0,47;
5.6;HºAº Pilotes a mas de 10m de prof.;m3;ESTRUCTURA RESISTENTE;COLUMNAS DE HºAº;m3;0,46;
1.5;Limpieza de terreno;m2;TRABAJOS PRELIMINARES;DESMONTE Y LIMPIEZA DEL TERRENO C/TOPADORA;m2;0,46;
18.1;Revestim. Ceramico Esmaltado Int.;m2;REVESTIMIENTOS;REVESTIMIENTO CERÁMICO;m2;0,46;
18.3;Revestim. Ceramico Esmaltado Ext.;m2;REVESTIMIENTOS;REVESTIMIENTO CERÁMICO;m2;0,46;
17.7;Zocalo Porcelanato Simil Mad Int.;ml;ZOCALOS;ZÓCALO PORCELANATO;m;0,46;
17.8;Zocalo Porcelanato Simil Mad Ext.;ml;ZOCALOS;ZÓCALO PORCELANATO;m;0,46;
21.7.2;Pintura Demarcacion Amarilla (Modulo est.);m2;PINTURAS;PINTURA ASFALTICA;m2;0,45;
5.15;Losa Maciza de HºAº.;m3;ESTRUCTURA RESISTENTE;COLUMNAS DE HºAº;m3;0,45;
5.16;Losa Nervurada de HºAº.-;m3;ESTRUCTURA RESISTENTE;COLUMNAS DE HºAº;m3;0,45;
16.7;Piso Porcelanato Simil Mad Int.;m2;PISOS;PISO PORCELANATO;m2;0,45;
16.8;Piso Porcelanato Simil Mad Ext.;m2;PISOS;PISO PORCELANATO;m2;0,45;
19.3.2.2;PM2 - Puerta Placa Interior - 0,80X2,05m;un;CARPINTERIAS;PUERTA  PLACA PIVOTANTE (0.80X2,60 M);Unidad;0,45;
9.5;Revoque Seco Interior c/Estruct y placa Verde;m2;REVOQUES;REVOQUE 2 EN 1 INTERIOR HCCA;m2;0,44;
21.7;Pintura Piso DEMARCACION;m2;PINTURAS;PINTURA ASFALTICA;m2;0,44;
21.8;Pintura de Piso Superficial;m2;PINTURAS;PINTURA ASFALTICA;m2;0,44;
6.11;Dinteles con ladrillos HCCA U 20;ml;MAMPOSTERIAS Y TABIQUES;"ENCADENADO  DE BLOQUE ""U"" HCCA 0,20 M";m;0,44;
10.3.4;Colector Tanque reserva y ruptor de vacio.;gl;INSTALACION SANITARIA;PROVISIÓN Y COLOCACIÓN TANQUE DE RESERVA DE 500  LTS;Gl;0,43;
22.2.3;Muebles Lavadero;gl;AMOBLAMIENTOS Y EQUIPAMIENTOS;MUEBLES DE TERAPIA;Gl;0,43;
18.2;Revestim. Ceramico Venecita Int;m2;REVESTIMIENTOS;REVESTIMIENTO VENECITA;m2;0,43;
3.4;Demolición Manual Cubierta de Chapa;m2;DEMOLICIONES;DEMOLICIÓN - DESMANTELAMIENTO DE CHAPA TRASLÚCIDA;m2;0,43;
9.3;Revoque Grueso fratazado (esp 2cm);m2;REVOQUES;REVOQUE 3 EN 1 HCCA;m2;0,42;
10.4.2.4;Colocacion Acc. Toilette;un;INSTALACION SANITARIA;COLOCACION DE ARTEFACTOS ;Unidad;0,42;
10.4.3.1;Colocacion Termotanque 55l;un;INSTALACION SANITARIA;COLOCACION DE ARTEFACTOS ;Unidad;0,42;
10.4.3.2;Colocacion Termotanque 85l;un;INSTALACION SANITARIA;COLOCACION DE ARTEFACTOS ;Unidad;0,42;
10.4.3.3;Colocacion Termotanque 110l;un;INSTALACION SANITARIA;COLOCACION DE ARTEFACTOS ;Unidad;0,42;
10.4.3.4;Colocacion Termotanque 125l;un;INSTALACION SANITARIA;COLOCACION DE ARTEFACTOS ;Unidad;0,42;
23.3.1;Mampara 0,60x2,10m;un;VIDRIOS;MAMPARA 1,36 X 2,00 M;Unidad;0,42;
4.3;Perfilado a Mano P/Platea y contrapisos;m3;EXCAVACION Y MOVIMIENTO DE SUELOS;EXCAVACIÓN DE PLATEA;m3;0,42;
21.3;Latex Int-Ext S/Hormigon;m2;PINTURAS;LATEX SATINADO INT. AZUL;m2;0,42;
13.5.1;Eq. Split BGH 3000 (o similar);un;INSTALACIONES AIRE ACONDICIONADO;PROVISION Y COLOCACION SPLIT INVERTER 3000 FG (COMPLETO);u;0,42;
9.17;Tomado junta Mamp. HCCA (Interior ductos y Setin);m2;REVOQUES;REVOQUE 2 EN 1 INTERIOR HCCA;m2;0,42;
6.6;Primer Hilada Replanteo HCCA 20;ml;MAMPOSTERIAS Y TABIQUES;"ENCADENADO  DE BLOQUE ""U"" HCCA 0,20 M";m;0,42;
9.12;Revoque Ext 3 en 1;m2;REVOQUES;REVOQUE 3 EN 1 HCCA;m2;0,41;
14.7;Buña Cielorraso - Pared;ml;CIELORRASOS;BUÑA PERIMETRAL;m;0,41;
9.4;Revoque Monocapa Yeso;m2;REVOQUES;REVOQUE 3 EN 1 HCCA;m2;0,41;
10.4.1.3;Griferia Ducha (AF);un;INSTALACION SANITARIA;PROVISION Y COLOCACION DE LAVATORIO CON GRIFERIA;u;0,41;
10.4.1.9;Griferia Office (AF);un;INSTALACION SANITARIA;PROVISION Y COLOCACION DE LAVATORIO CON GRIFERIA;u;0,41;
10.4.1.11;Griferia Lavadero (AF);un;INSTALACION SANITARIA;PROVISION Y COLOCACION DE LAVATORIO CON GRIFERIA;u;0,41;
18.10;Revestim. Madera;m2;REVESTIMIENTOS;REVESTIMIENTO DE MADERA DE EUCALIPTO;m2;0,41;
3.1;Retiro de artefactos;un;DEMOLICIONES;COLOCACION DE ARTEFACTOS ;Unidad;0,41;
3.2;Retiro de aberturas;un;DEMOLICIONES;ACARREO Y RETIRO DE ESCOMBROS;Unidad;0,41;
10.3.2;Cañería bombeo de tanque cisterna a tanque de reserva;gl;INSTALACION SANITARIA;PROVISIÓN Y COLOCACIÓN TANQUE DE RESERVA DE 500  LTS;Gl;0,41;
9.6;Revoque Seco Interior c/Estruct y placa Comun;m2;REVOQUES;REVOQUE 2 EN 1 INTERIOR HCCA;m2;0,40;
5.20;Tabiques de HºAº p/TR;m3;ESTRUCTURA RESISTENTE;COLUMNAS DE HºAº;m3;0,40;
22.2.4;Placares y Muebles de Guardado;gl;AMOBLAMIENTOS Y EQUIPAMIENTOS;MUEBLES DE TERAPIA;Gl;0,40;
